,,loss,acc,loss,acc
,,val,val,train,train
epoch,step,,,,
0,38,2.45803165435791,0.3344155848026275,2.5267786979675293,0.2668181359767914
1,77,2.450448513031006,0.3344155848026275,2.4598729610443115,0.3141754567623138
2,116,2.443913221359253,0.3344155848026275,2.452162265777588,0.3204711675643921
3,155,2.437641143798828,0.3344155848026275,2.445270538330078,0.3257514238357544
4,194,2.4316580295562744,0.3344155848026275,2.445906639099121,0.3088952004909515
5,233,2.425658702850342,0.3344155848026275,2.436007499694824,0.3086921274662018
6,272,2.419733762741089,0.3344155848026275,2.4356119632720947,0.3056458234786987
7,311,2.4143550395965576,0.3344155848026275,2.426081657409668,0.3196588158607483
8,350,2.408529043197632,0.3344155848026275,2.4218575954437256,0.3139723837375641
9,389,2.402894258499145,0.3344155848026275,2.418015241622925,0.3105199038982391
10,428,2.397124528884888,0.3344155848026275,2.4050605297088623,0.3275792002677917
11,467,2.392167329788208,0.3344155848026275,2.4045701026916504,0.3172217607498169
12,506,2.3864259719848637,0.3344155848026275,2.402506828308105,0.3111291527748108
13,545,2.381459951400757,0.3344155848026275,2.4007108211517334,0.3023964166641235
14,584,2.37833833694458,0.3344155848026275,2.3911635875701904,0.3121446073055267
15,623,2.371594190597534,0.3344155848026275,2.3825299739837646,0.3200649917125702
16,662,2.3660871982574463,0.3344155848026275,2.3807244300842285,0.3090983033180237
17,701,2.3645944595336914,0.3337560892105102,2.377847671508789,0.3107991516590118
18,740,2.3629188537597656,0.3344155848026275,2.376497507095337,0.3076068758964538
19,779,2.3579158782958984,0.3344155848026275,2.374116897583008,0.3091744482517242
20,818,2.349229335784912,0.3341872990131378,2.362086534500122,0.3180087208747864
21,857,2.374949216842652,0.3344155848026275,2.363187551498413,0.3161428570747375
22,896,2.367551803588867,0.3344155848026275,2.380092144012451,0.3225020170211792
23,935,2.332965850830078,0.3334517180919647,2.372030258178711,0.3079330921173095
24,974,2.3629982471466064,0.3064072728157043,2.350263833999634,0.3107411861419678
25,1013,2.356756687164306,0.3344155848026275,2.366992712020874,0.3214992880821228
26,1052,2.3273212909698486,0.3306361734867096,2.3524155616760254,0.3215310275554657
27,1091,2.348611354827881,0.3344155848026275,2.3484504222869877,0.3208963871002197
28,1130,2.3440003395080566,0.3344155848026275,2.3616323471069336,0.3147783875465393
29,1169,2.3399767875671387,0.3344155848026275,2.369621992111206,0.3070737719535827
