,,loss,acc,loss,acc
,,val,val,train,train
epoch,step,,,,
0,19,2.869714498519897,0.0520417056977748,2.868708372116089,0.0553913861513137
1,39,2.808523416519165,0.0545528642833232,2.802567720413208,0.0556323565542697
2,59,2.7518105506896973,0.0590191073715686,2.7587952613830566,0.0551567561924457
3,79,2.699354887008667,0.0700315311551094,2.705380439758301,0.0615297779440879
4,99,2.651328563690185,0.081266388297081,2.6594772338867188,0.0739460736513137
5,119,2.6070797443389893,0.0913500636816024,2.614502429962158,0.0885501205921173
6,139,2.567673921585083,0.0919002816081047,2.570960283279419,0.0894822925329208
7,159,2.530683755874634,0.0939392670989036,2.534079074859619,0.090313009917736
8,179,2.4966540336608887,0.0987001359462738,2.501898288726806,0.0931856259703636
9,199,2.4654688835144043,0.1059819161891937,2.495455026626587,0.0967494398355484
10,219,2.4369587898254395,0.1137222200632095,2.4450385570526123,0.101968340575695
11,239,2.4110560417175293,0.1187913566827774,2.415570020675659,0.109837919473648
12,259,2.3875911235809326,0.1231678575277328,2.404176950454712,0.11328125
13,279,2.3650355339050293,0.1308691203594207,2.365750551223755,0.1197240278124809
14,299,2.3453116416931152,0.1359168142080307,2.366342306137085,0.1270736157894134
15,319,2.3253378868103027,0.1415732651948928,2.3271713256835938,0.1346388012170791
16,339,2.3070802688598637,0.144736111164093,2.323446273803711,0.1353807300329208
17,359,2.289969682693481,0.1500842869281768,2.304928779602051,0.1383040845394134
18,379,2.2738945484161377,0.1539573818445205,2.283625602722168,0.1480316519737243
19,399,2.259002208709717,0.1564256101846695,2.268338680267334,0.1501433104276657
20,419,2.2448480129241943,0.1584723889827728,2.263201951980591,0.1507711112499237
21,439,2.231024265289306,0.1606050282716751,2.2378957271575928,0.1530222743749618
22,459,2.21840500831604,0.1613425612449646,2.2168068885803223,0.1564275622367859
23,479,2.206575870513916,0.1624352037906646,2.207051515579224,0.1609235554933548
24,499,2.1949715614318848,0.1633522659540176,2.1999776363372803,0.16259765625
25,519,2.18451189994812,0.1643161475658416,2.1967453956604004,0.1581714153289795
26,539,2.174401044845581,0.1648410111665725,2.186581611633301,0.1627308279275894
27,559,2.164271116256714,0.1655356287956237,2.1785476207733154,0.1670112162828445
28,579,2.1549110412597656,0.166505366563797,2.162770748138428,0.1649122387170791
29,599,2.145759344100952,0.1677287518978119,2.1535234451293945,0.1676263213157653
30,619,2.137072324752808,0.1690477430820465,2.1324446201324463,0.1649819910526275
31,639,2.128473281860352,0.1692721396684646,2.138304710388184,0.1667829304933548
32,659,2.120366096496582,0.1696330904960632,2.11818790435791,0.1706828325986862
33,679,2.1121697425842285,0.1708623319864273,2.130117177963257,0.1682667881250381
34,699,2.104335308074951,0.171875,2.091635227203369,0.1757241785526275
35,719,2.096742391586304,0.1723296493291854,2.1104211807250977,0.1741261631250381
36,739,2.089207649230957,0.1728408187627792,2.0730600357055664,0.1764344125986099
37,759,2.0820095539093018,0.1726456880569458,2.0672004222869877,0.1765041649341583
38,779,2.0751540660858154,0.1732798218727111,2.09847354888916,0.1737583726644516
39,799,2.0685136318206787,0.1738105565309524,2.0790085792541504,0.1761870980262756
40,819,2.062077760696411,0.1737969070672989,2.058648109436035,0.1748237162828445
41,839,2.0555522441864014,0.1746203005313873,2.064757823944092,0.1724837720394134
42,859,2.049301624298096,0.1750378608703613,2.038393974304199,0.1785904467105865
43,879,2.043296337127685,0.1756973564624786,2.038837194442749,0.1742466539144516
44,899,2.0371594429016118,0.1760719865560531,2.0638961791992188,0.1744115203619003
45,919,2.031405448913574,0.1763451397418975,2.0490987300872803,0.1780958324670791
46,939,2.0256965160369877,0.1767919659614563,2.0270063877105717,0.17708121240139
47,959,2.020007610321045,0.1767861098051071,2.0337624549865723,0.1755656450986862
48,979,2.0145204067230225,0.1769129335880279,2.03581976890564,0.1745193302631378
49,999,2.009199380874634,0.1769324392080307,2.015591144561768,0.1781782656908035
50,1019,2.004243850708008,0.1766417175531387,2.045343399047852,0.1746525019407272
51,1039,1.999279856681824,0.1765148788690567,1.997288942337036,0.1773729175329208
52,1059,1.9944736957550049,0.1765656173229217,2.0062015056610107,0.1799728572368621
53,1079,1.9894236326217647,0.1767236590385437,1.9803487062454224,0.179662138223648
54,1099,1.984953999519348,0.1772056072950363,2.0072121620178223,0.1799348145723343
55,1119,1.9807947874069212,0.1780680269002914,1.9949003458023071,0.1764153838157653
56,1139,1.976255297660828,0.1782709509134292,1.9927424192428589,0.1827757209539413
57,1159,1.971870303153992,0.1791079938411712,1.989030361175537,0.17512808740139
58,1179,1.967217206954956,0.1800211519002914,1.9658666849136357,0.1853502988815307
59,1199,1.9629441499710083,0.1819742769002914,1.9959417581558228,0.1793450713157653
60,1219,1.95880126953125,0.1850883364677429,1.9688466787338257,0.1883307099342346
61,1239,1.9548839330673216,0.1873536705970764,1.971400260925293,0.1861936897039413
62,1259,1.951194643974304,0.1897341012954712,1.963141679763794,0.1895545870065689
63,1279,1.9474161863327024,0.1900326311588287,1.9693896770477293,0.1849507987499237
64,1299,1.943751335144043,0.1935349851846695,1.9625188112258911,0.1925730556249618
65,1319,1.9403067827224727,0.1981397569179535,1.972837328910828,0.1944817900657653
66,1339,1.9371163845062256,0.203048899769783,1.9533326625823972,0.1985592544078827
67,1359,1.9338115453720093,0.205700546503067,1.9566638469696045,0.1995928883552551
68,1379,1.9306795597076416,0.2069941759109497,1.960603952407837,0.1992250978946685
69,1399,1.9273200035095213,0.2089472860097885,1.9440789222717283,0.2020469754934311
70,1419,1.924540877342224,0.2098350822925567,1.932185411453247,0.205078125
71,1439,1.9214988946914675,0.2120262533426284,1.93399441242218,0.2087624222040176
