,,loss,acc,loss,acc
,,val,val,train,train
epoch,step,,,,
0,38,2.5428466796875,0.3246753215789795,2.139134407043457,0.1320593804121017
1,77,2.48469877243042,0.3235846161842346,1.1434376239776611,0.1628625988960266
2,116,0.937976896762848,0.1796824187040329,0.6655059456825256,0.1757797598838806
3,155,0.5483095049858093,0.1762834787368774,0.4363993704319,0.1806669682264328
4,194,0.3425788879394531,0.185546875,0.2721048295497894,0.18502277135849
5,233,0.2743724584579468,0.1956473290920257,0.2037809491157531,0.1907421946525573
6,272,0.2055151760578155,0.1841619461774826,0.1376411020755767,0.1899730116128921
7,311,0.1425948143005371,0.1866527944803238,0.1226798743009567,0.1917441040277481
8,350,0.0995636731386184,0.1866223663091659,0.0792927742004394,0.1877948939800262
9,389,0.0892115384340286,0.1868810802698135,0.0657094866037368,0.192792534828186
10,428,0.0680699273943901,0.1881138384342193,0.043348342180252,0.1858021020889282
11,467,0.0621414110064506,0.1868202090263366,0.033043123781681,0.1871606558561325
12,506,0.0549874007701873,0.1868557184934616,0.0288226138800382,0.1931487768888473
13,545,0.0410163961350917,0.1867542564868927,0.0271471831947565,0.1837428957223892
14,584,0.0345339514315128,0.1866781562566757,0.020995020866394,0.1890020072460174
15,623,0.0428074598312377,0.186424508690834,0.0171667970716953,0.1879298686981201
16,662,0.0327366143465042,0.1867948472499847,0.0165928825736045,0.1873773038387298
17,701,0.035437773913145,0.1863991320133209,0.0189182646572589,0.1854272335767746
18,740,0.0319769196212291,0.1866781562566757,0.0133441379293799,0.1867054253816604
19,779,0.0290417615324258,0.1867441236972808,0.0194310508668422,0.1911906749010086
20,818,0.0319490544497966,0.1867542564868927,0.011972171254456,0.1818681508302688
21,857,0.0261165872216224,0.1867593228816986,0.0127746751531958,0.1901176869869232
22,896,0.0297035276889801,0.1866781562566757,0.0161796193569898,0.1870515048503875
23,935,0.0278622042387723,0.1867288798093795,0.0084152314811944,0.1891712397336959
24,974,0.0251115206629037,0.1867593228816986,0.006678806617856,0.1882522851228714
25,1013,0.0247709676623344,0.1867441236972808,0.010211388580501,0.1855723559856414
26,1052,0.0270297303795814,0.1868709474802017,0.0134956454858183,0.1915465146303177
27,1091,0.0295422207564115,0.1863382756710052,0.0098209846764802,0.188091903924942
28,1130,0.0237329434603452,0.1867542564868927,0.0080282846465706,0.1881469190120697
29,1169,0.0243422053754329,0.1867948472499847,0.0058657978661358,0.189799964427948
30,1208,0.0219751317054033,0.1866781562566757,0.0084776366129517,0.1911847740411758
31,1247,0.0221137013286352,0.1867542564868927,0.0072807446122169,0.1888378411531448
32,1286,0.022216347977519,0.1867542564868927,0.0067699272185564,0.188509926199913
33,1325,0.023119069635868,0.1869977712631225,0.0051673171110451,0.1889283806085586
