,,loss,acc,loss,acc
,,val,val,train,train
epoch,step,,,,
0,38,2.562288761138916,0.0519480518996715,2.146740198135376,0.1234578117728233
1,77,2.5006258487701416,0.1596945971250534,1.2499847412109375,0.1568766087293625
2,116,1.1572870016098022,0.158309668302536,0.8019998073577881,0.1734434217214584
3,155,0.5551390051841736,0.1869368851184845,0.5238180756568909,0.1819599717855453
4,194,0.5074242353439331,0.1821986585855484,0.3728392422199249,0.1842903792858123
5,233,0.3350057601928711,0.189493715763092,0.266507476568222,0.1888932585716247
6,272,0.2788088023662567,0.1879920959472656,0.1965934038162231,0.1882514059543609
7,311,0.1939883828163147,0.1931107938289642,0.1516143381595611,0.1886182427406311
8,350,0.1442738622426986,0.1909293830394745,0.1095578074455261,0.1900462061166763
9,389,0.1442542821168899,0.1901938021183014,0.0885362699627876,0.189446672797203
10,428,0.1051979288458824,0.1910917162895202,0.0729827880859375,0.1851293891668319
11,467,0.0841769874095916,0.1911170780658722,0.0569178536534309,0.1852795928716659
12,506,0.0794509872794151,0.1906706541776657,0.0498691424727439,0.1862692236900329
13,545,0.0586114600300788,0.1903155446052551,0.0402093939483165,0.1915600597858429
14,584,0.0544987581670284,0.1899655014276504,0.033803790807724,0.191645085811615
15,623,0.0518650338053703,0.1904423683881759,0.0314310491085052,0.1892537325620651
16,662,0.0411995723843574,0.1903662681579589,0.0273674316704273,0.1848319470882415
17,701,0.0302886832505464,0.1901887208223343,0.026863420382142,0.18581523001194
18,740,0.0272107739001512,0.1901887208223343,0.0265548508614301,0.1880745589733123
19,779,0.0310768280178308,0.1898589730262756,0.0178330410271883,0.1942890286445617
20,818,0.0239678360521793,0.1900365203619003,0.0172824263572692,0.1896848827600479
21,857,0.0370060764253139,0.1900618970394134,0.0173401720821857,0.1868052780628204
22,896,0.0206272490322589,0.1902140825986862,0.0161964613944292,0.1858118325471878
23,935,0.0234285108745098,0.1900111585855484,0.0177882872521877,0.1902082562446594
24,974,0.0199903212487697,0.1901126205921173,0.0198404211550951,0.1893565505743026
25,1013,0.0220720618963241,0.1901126205921173,0.0199996791779994,0.1884079724550247
26,1052,0.0243369527161121,0.1900618970394134,0.0149236880242824,0.1804097294807434
27,1091,0.0214269123971462,0.1900618970394134,0.0152566395699977,0.1872203350067138
